StudyInstanceUID,SOPInstanceUID,annotationMode,labelName,data,qualitativeLabel,height,width,SeriesDescription,ImagerPixelSpacing,SeriesInstanceUID,ManufacturerModelName,PhotometricInterpretation,Split
1.3.6.1.4.1.14519.5.2.1.1239.1759.129600419621576398995114844510,1.3.6.1.4.1.14519.5.2.1.1239.1759.194774249483359371755113494228,bounding_box,Nipple,"{'x': 1127.46001, 'y': 1177.36237, 'width': 157.06665, 'height': 124}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.13117229980236289419828379539285669411,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.130460368220507106853089047027,1.3.6.1.4.1.14519.5.2.1.1239.1759.209619677622041281105092581188,bounding_box,Nipple,"{'x': 734.79338, 'y': 1119.4957, 'width': 136.39996, 'height': 152.93335}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11280005233405303924162513247143906871,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.133046163851129809317721775711,1.3.6.1.4.1.14519.5.2.1.1239.1759.706128821564964297475614058886,bounding_box,Nipple,"{'x': 1147.14178, 'y': 1024.42903, 'width': 140.53333, 'height': 152.93335}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.50591068692808434121258712077478933264,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.134676080895141842913981196492,1.3.6.1.4.1.14519.5.2.1.1239.1759.191099191138090253867481655987,bounding_box,Nipple,"{'x': 1353.80845, 'y': 1045.0957, 'width': 177.7334, 'height': 115.7334}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.42561401493083503895651172011772795692,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.136707270819076723873338279459,1.3.6.1.4.1.14519.5.2.1.1239.1759.116330137909650670007494873194,bounding_box,Nipple,"{'x': 965.27511, 'y': 1164.96237, 'width': 115.7334, 'height': 107.46667}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.99603739551117863312534349647216384595,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.138126089088676474409991184465,1.3.6.1.4.1.14519.5.2.1.1239.1759.153211879256756549867431866203,bounding_box,Nipple,"{'x': 923.94178, 'y': 999.62903, 'width': 198.39996, 'height': 186.00006}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.59922910736818710740421950097140896091,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.140684394285129506604179504657,1.3.6.1.4.1.14519.5.2.1.1239.1759.276613366384032362018836214267,bounding_box,Nipple,"{'x': 689.32668, 'y': 1164.96237, 'width': 144.66669, 'height': 140.53333}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.86749930760720654277144193041387675702,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.144156665167915469311644290898,1.3.6.1.4.1.14519.5.2.1.1239.1759.293725623490168926342970481668,bounding_box,Nipple,"{'x': 1229.80845, 'y': 1107.0957, 'width': 107.46667, 'height': 136.40002}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.92749957771747015651626861093194730367,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.146714687862539669647716415010,1.3.6.1.4.1.14519.5.2.1.1239.1759.306336689093033255487990407337,bounding_box,Nipple,"{'x': 424.79334, 'y': 871.4957, 'width': 140.53336, 'height': 124}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12998543590286657692749565441435353386,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.150378404452145174884134256388,1.3.6.1.4.1.14519.5.2.1.1239.1759.203897746326131621443361790888,bounding_box,Nipple,"{'x': 1209.14178, 'y': 983.0957, 'width': 99.19995, 'height': 123.99994}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12670280994354968853714799794178241292,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.151450551934959098227497949864,1.3.6.1.4.1.14519.5.2.1.1239.1759.230112373583664705898536599947,bounding_box,Nipple,"{'x': 631.46001, 'y': 1181.4957, 'width': 82.66669, 'height': 181.8667}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.43646151660655692115813613931133760430,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.155392701194392642959178647737,1.3.6.1.4.1.14519.5.2.1.1239.1759.258725485665685251131085206545,bounding_box,Nipple,"{'x': 598.39334, 'y': 1016.16237, 'width': 107.46667, 'height': 144.66669}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12593700835144023210373327088407219476,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.157391121519087395607442598123,1.3.6.1.4.1.14519.5.2.1.1239.1759.471726946481169707321705056390,bounding_box,Nipple,"{'x': 1200.87511, 'y': 1127.76237, 'width': 132.26672, 'height': 157.06665}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11195363000966883069809207548251559927,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.164523273499427813705131963673,1.3.6.1.4.1.14519.5.2.1.1239.1759.998604797769361551399902536302,bounding_box,Nipple,"{'x': 275.99334, 'y': 970.6957, 'width': 190.13336, 'height': 165.33331}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.30968123118925006451370945430998751898,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.165544081838084959951215073213,1.3.6.1.4.1.14519.5.2.1.1239.1759.324485793042070167921649216862,bounding_box,Nipple,"{'x': 478.52668, 'y': 1061.62903, 'width': 173.60001, 'height': 190.13342}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.16117955826055242817247035864883838952,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.167152008977249582779259981814,1.3.6.1.4.1.14519.5.2.1.1239.1759.133773022530564480076692773334,bounding_box,Nipple,"{'x': 519.86001, 'y': 950.02903, 'width': 144.66669, 'height': 111.59998}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.93206032223350254842329609535741510090,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.167973595650824130376004191188,1.3.6.1.4.1.14519.5.2.1.1239.1759.307268284415375366150865264470,bounding_box,Nipple,"{'x': 1130.60845, 'y': 916.96237, 'width': 95.06665, 'height': 181.8667}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.98200110591547866578807819010779976654,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.168760209179730599639082879929,1.3.6.1.4.1.14519.5.2.1.1239.1759.235886717076053003428883795785,bounding_box,Nipple,"{'x': 668.66001, 'y': 1127.76237, 'width': 124, 'height': 173.59998}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.90173992745763343096301524160558158251,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.171248047498287927045438454179,1.3.6.1.4.1.14519.5.2.1.1239.1759.327753115992354315413766927395,bounding_box,Nipple,"{'x': 1019.00855, 'y': 788.82903, 'width': 140.53333, 'height': 173.59998}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12842441990827359457228597487161259395,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.172959838565851571043600134468,1.3.6.1.4.1.14519.5.2.1.1239.1759.114061239812298522132837654544,bounding_box,Nipple,"{'x': 375.19334, 'y': 1086.42903, 'width': 132.26666, 'height': 144.66663}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.62239539254391437024961447674668361422,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.174568181699831285890426242372,1.3.6.1.4.1.14519.5.2.1.1239.1759.317471250738321708474130340636,bounding_box,Nipple,"{'x': 482.66001, 'y': 1181.4957, 'width': 103.33331, 'height': 165.33337}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.30076906994454793349480304420995788458,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.175793175407487305849446446879,1.3.6.1.4.1.14519.5.2.1.1239.1759.121076566798736280481841854581,bounding_box,Nipple,"{'x': 589.61079, 'y': 994.89607, 'width': 184.2218, 'height': 188.60797}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.92041871320833765054959807750849572493,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.181705498411601753992889647246,1.3.6.1.4.1.14519.5.2.1.1239.1759.504933342290437952355915254437,bounding_box,Nipple,"{'x': 590.79379, 'y': 958.29471, 'width': 91.8913, 'height': 141.11877}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.24794136263159874796118504235122830555,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.192692931382142972132190389312,1.3.6.1.4.1.14519.5.2.1.1239.1759.310957815068591490830250987234,bounding_box,Nipple,"{'x': 486.79334, 'y': 1206.2957, 'width': 140.53336, 'height': 148.80005}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.16563481404584681519314543788158228239,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.193569660466241972205408121819,1.3.6.1.4.1.14519.5.2.1.1239.1759.268869506625434724129860969722,bounding_box,Nipple,"{'x': 280.12668, 'y': 892.16237, 'width': 119.8667, 'height': 152.93329}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.48603855780248297959142992285077242263,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.196349418819894744032781500925,1.3.6.1.4.1.14519.5.2.1.1239.1759.289124328222622954377746162534,bounding_box,Nipple,"{'x': 1179.52346, 'y': 1224.12303, 'width': 101.73669, 'height': 137.83679}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12223619250641364614223772801084578072,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.198287495042128703997465788155,1.3.6.1.4.1.14519.5.2.1.1239.1759.121574126331062496662554546933,bounding_box,Nipple,"{'x': 606.66001, 'y': 1144.2957, 'width': 140.53333, 'height': 140.53333}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.92663404681810028696501520363438127187,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.199195943957294367944260129012,1.3.6.1.4.1.14519.5.2.1.1239.1759.320146264283153526471374717954,bounding_box,Nipple,"{'x': 639.72668, 'y': 834.2957, 'width': 128.13336, 'height': 169.46667}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.78176874858928283936481098772578967936,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.201630080467255835997947793954,1.3.6.1.4.1.14519.5.2.1.1239.1759.163273723731153868805058172564,bounding_box,Nipple,"{'x': 551.41184, 'y': 1188.02289, 'width': 95.1731, 'height': 164.09155}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.94754592651571922941761702904443705948,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.206800668289116188883307808880,1.3.6.1.4.1.14519.5.2.1.1239.1759.290671448726897044835049298857,bounding_box,Nipple,"{'x': 1053.06001, 'y': 1115.36237, 'width': 144.66663, 'height': 144.66663}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.13228703558348470874445655117490158164,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.208918184978327348255351035064,1.3.6.1.4.1.14519.5.2.1.1239.1759.279338664862978210437108851717,bounding_box,Nipple,"{'x': 1027.27511, 'y': 1247.62903, 'width': 119.8667, 'height': 161.19995}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.47173143713002078138690741296187237893,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.210153883748490830949981157159,1.3.6.1.4.1.14519.5.2.1.1239.1759.710415225221452451781146918117,bounding_box,Nipple,"{'x': 1097.54178, 'y': 809.4957, 'width': 152.93335, 'height': 161.20001}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11836773784129681970017606815492472574,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.210758396778295954589452905218,1.3.6.1.4.1.14519.5.2.1.1239.1759.333886941938874399281612353160,bounding_box,Nipple,"{'x': 1432.34167, 'y': 1247.62903, 'width': 140.53345, 'height': 198.3999}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11662301884452664757785120247681841489,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.212754482978281101571020229401,1.3.6.1.4.1.14519.5.2.1.1239.1759.150939470414305895458176999594,bounding_box,Nipple,"{'x': 1233.94178, 'y': 1107.0957, 'width': 165.33325, 'height': 202.53345}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.20302200309473987715942431623505753933,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.213212508572902694475611344446,1.3.6.1.4.1.14519.5.2.1.1239.1759.204034160204088112810176882414,bounding_box,Nipple,"{'x': 1242.20845, 'y': 1053.36237, 'width': 128.1333, 'height': 148.80005}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.47084325330468592299906674095927650076,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.213761311611107701483247253066,1.3.6.1.4.1.14519.5.2.1.1239.1759.205714083376921521788778138476,bounding_box,Nipple,"{'x': 433.06001, 'y': 1020.2957, 'width': 115.73337, 'height': 140.53333}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.15020717440933046673489998822104985771,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.214437155756505663341980200571,1.3.6.1.4.1.14519.5.2.1.1239.1759.202870107045285718630906517818,bounding_box,Nipple,"{'x': 1287.67506, 'y': 1045.0957, 'width': 132.26672, 'height': 181.8667}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10860515441326858281495712688548643384,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.215993049026802870689627746329,1.3.6.1.4.1.14519.5.2.1.1239.1759.111028840256505448434897622592,bounding_box,Nipple,"{'x': 1126.47511, 'y': 941.76237, 'width': 157.06665, 'height': 177.73334}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.68623646456399109210948480358928234746,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.219479386944201357227235862085,1.3.6.1.4.1.14519.5.2.1.1239.1759.197465184201822995928795275931,bounding_box,Nipple,"{'x': 269.41576, 'y': 1038.7584, 'width': 118.42831, 'height': 153.51819}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.71069550346416462793497107644191870981,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.230312452001574112734605741351,1.3.6.1.4.1.14519.5.2.1.1239.1759.621383411854941024520699238607,bounding_box,Nipple,"{'x': 809.19334, 'y': 1222.82903, 'width': 148.80005, 'height': 144.66663}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.19500510297535477505418244271396861658,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.240969929137844688112062530250,1.3.6.1.4.1.14519.5.2.1.1239.1759.723139045971697089888278301059,bounding_box,Nipple,"{'x': 1150.00376, 'y': 986.1236, 'width': 140.35938, 'height': 157.90436}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10807290762856638931826252584974719843,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.244353941773737440739170462913,1.3.6.1.4.1.14519.5.2.1.1239.1759.233258384165746999789061920986,bounding_box,Nipple,"{'x': 1221.54178, 'y': 1057.4957, 'width': 115.73328, 'height': 190.13342}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.41712461287906598799652743784829795918,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.250234983325665484711811735885,1.3.6.1.4.1.14519.5.2.1.1239.1759.238684239185046422207334503967,bounding_box,Nipple,"{'x': 1118.20845, 'y': 1268.2957, 'width': 152.93335, 'height': 161.19995}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.36616974660292633290041965285996680879,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.253607128234733941200070035342,1.3.6.1.4.1.14519.5.2.1.1239.1759.308801219799031143285548681554,bounding_box,Nipple,"{'x': 1123.32668, 'y': 1181.4957, 'width': 144.66663, 'height': 148.80005}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.62674440550554524634202119797977429564,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.256420457890479116333457460865,1.3.6.1.4.1.14519.5.2.1.1239.1759.476282721836213996168393421960,bounding_box,Nipple,"{'x': 660.39332, 'y': 1185.62903, 'width': 144.66669, 'height': 227.33325}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12285187225920866418551864924002008007,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.256535836883140122773337732260,1.3.6.1.4.1.14519.5.2.1.1239.1759.477088755265097984714548116875,bounding_box,Nipple,"{'x': 486.79334, 'y': 978.96237, 'width': 161.19998, 'height': 144.66675}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.23563377494835829114770475173856175219,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.257233756005123334296113273814,1.3.6.1.4.1.14519.5.2.1.1239.1759.122358086372398824432444785270,bounding_box,Nipple,"{'x': 1337.27511, 'y': 929.36237, 'width': 136.40002, 'height': 169.46667}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12420131506034518993494410375305557231,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.261586285253147202748576705366,1.3.6.1.4.1.14519.5.2.1.1239.1759.362919548920267086565155598213,bounding_box,Nipple,"{'x': 507.46001, 'y': 1078.16237, 'width': 136.40002, 'height': 165.33325}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10897334692981368328564872663565646540,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.264205517854598090913541685102,1.3.6.1.4.1.14519.5.2.1.1239.1759.279856830440452835067672290698,bounding_box,Nipple,"{'x': 1192.60845, 'y': 1140.16237, 'width': 140.53333, 'height': 140.53333}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12029717076982183918611306840889575912,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.264325000120473392571783669591,1.3.6.1.4.1.14519.5.2.1.1239.1759.119799808205133666782125669074,bounding_box,Nipple,"{'x': 701.72668, 'y': 958.2957, 'width': 152.93335, 'height': 148.79993}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.14756829110018428741431939020784848047,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.265352576590551678722021620437,1.3.6.1.4.1.14519.5.2.1.1239.1759.294635221605435763888270869556,bounding_box,Nipple,"{'x': 561.19334, 'y': 1024.42903, 'width': 128.13336, 'height': 119.8667}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10107577964865845054734499946264117275,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.272729400260677083492804734979,1.3.6.1.4.1.14519.5.2.1.1239.1759.921479189833446544144105981429,bounding_box,Nipple,"{'x': 523.9933, 'y': 1078.16237, 'width': 95.06671, 'height': 148.79993}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.90232416580321167634933205020800593133,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.272938898385188698885544960770,1.3.6.1.4.1.14519.5.2.1.1239.1759.687221975053557277656827795616,bounding_box,Nipple,"{'x': 734.79334, 'y': 1189.76237, 'width': 132.26666, 'height': 198.40002}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.78566592783746178889623373674321702407,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.274625350653228675109238421516,1.3.6.1.4.1.14519.5.2.1.1239.1759.152361698678169606202246634999,bounding_box,Nipple,"{'x': 531.27511, 'y': 1016.16237, 'width': 132.26666, 'height': 144.66669}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.81194548133600885260062935572395885357,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.277092788178890844249952086791,1.3.6.1.4.1.14519.5.2.1.1239.1759.219627413894164793691805128156,bounding_box,Nipple,"{'x': 577.72668, 'y': 743.36237, 'width': 132.26672, 'height': 152.93329}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.77166346476507708161518257478159734486,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.282496604340877570787960588332,1.3.6.1.4.1.14519.5.2.1.1239.1759.182516385698293525103049811069,bounding_box,Nipple,"{'x': 685.96692, 'y': 1188.02289, 'width': 144.40051, 'height': 141.11877}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.89906158433124262562809516533684312395,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.285177469992943109892011785903,1.3.6.1.4.1.14519.5.2.1.1239.1759.138016996958579479535344055252,bounding_box,Nipple,"{'x': 1119.19334, 'y': 1107.0957, 'width': 144.66675, 'height': 132.26672}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11643025868189618069015429298599025395,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.290330279444259650266543965710,1.3.6.1.4.1.14519.5.2.1.1239.1759.285291277912047451275538929968,bounding_box,Nipple,"{'x': 1247.32668, 'y': 1065.76237, 'width': 119.86658, 'height': 161.19995}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.40543662104127119407229776123109763169,,MONOCHROME2,Test
